abandon;porzucić, zrezygnować
ability;umiejętność, zdolność
absence;nieobecność, brak
abuse;nadużycie, znęcać się
accelerate;przyspieszyć
acceptable;akceptowalny, dopuszczalny
access;dostęp, uzyskać dostęp
accessible;dostępny (np. o stronie WWW)
accomplish;osiągnąć, zrealizować
accurate;dokładny, precyzyjny
achieve;osiągnąć
acknowledge;przyznać, potwierdzić (np. odbiór)
acquire;nabyć, pozyskać
adapt;przystosować się, zaadaptować
adequate;odpowiedni, wystarczający
adjust;dostosować, wyregulować
administer;zarządzać, administrować
advantage;zaleta, przewaga
advocate;popierać, obrońca/zwolennik
affect;wpływać na
affordable;przystępny cenowo
allocate;przydzielić (np. zasoby, pamięć)
alter;zmienić, zmodyfikować
alternative;alternatywa, alternatywny
ambiguous;wieloznaczny, niejednoznaczny
amend;poprawić, wnieść poprawki
analyze;analizować
anticipate;przewidywać, oczekiwać
apparent;oczywisty, widoczny
append;dołączyć (np. do pliku)
approach;podejście, zbliżać się
appropriate;odpowiedni, właściwy
approve;zatwierdzić, zaaprobować
approximate;przybliżony
arbitrary;arbitralny, przypadkowy
assemble;zmontować, zebrać się
assess;oceniać, szacować
assign;przypisać (np. zmienną, zadanie)
assume;zakładać, przypuszczać
assure;zapewniać, gwarantować
attach;załączyć (np. plik)
attempt;próba, próbować
attend;uczestniczyć (np. w spotkaniu)
attribute;przypisywać, atrybut
authentic;autentyczny, wiarygodny
authorize;upoważniać, autoryzować
automate;automatyzować
available;dostępny
avoid;unikać
aware;świadomy
background;tło, środowisko, pochodzenie
backup;kopia zapasowa, wsparcie
bandwidth;przepustowość łącza
barrier;bariera, przeszkoda
beneficial;korzystny
bias;stronniczość, uprzedzenie
boost;zwiększyć, pobudzić
boundary;granica
branch;oddział, gałąź (np. w Git)
breach;naruszenie (np. bezpieczeństwa)
breakdown;awaria, załamanie
breakthrough;przełom
brief;krótki, zwięzły
broadcast;transmitować, nadawać
browser;przeglądarka internetowa
bug;błąd w programie
bypass;obejść (np. zabezpieczenia)
calculate;obliczać
capacity;pojemność, zdolność
capture;przechwycić (np. dane)
catalyst;katalizator
category;kategoria
cease;przestać, zaprzestać
challenge;wyzwanie
circumstance;okoliczność
clarify;wyjaśnić, doprecyzować
coherent;spójny, logiczny
coincide;zbiegać się w czasie
collaborate;współpracować
collapse;zawalić się, upadek
colleague;kolega z pracy
commence;rozpocząć
commit;zobowiązać się, zatwierdzić (np. kod)
communicate;komunikować się
compile;kompilować
complex;złożony, skomplikowany
comply;zastosować się, przestrzegać
component;składnik, komponent
comprehensive;wszechstronny, kompleksowy
comprise;zawierać, obejmować
compulsory;obowiązkowy
conceal;ukryć
concede;przyznać rację, ustąpić
conceive;wymyślić, począć
conclude;wywnioskować, zakończyć
concurrent;jednoczesny, współbieżny
conduct;przeprowadzać (np. testy)
confine;ograniczać
confirm;potwierdzić
conflict;konflikt
conform;dostosować się
consent;zgoda, pozwolić
consequence;konsekwencja
considerable;znaczny, spory
consist;składać się z
constant;stały, ciągły
constrain;zmuszać, ograniczać
construct;konstruować, budować
consult;konsultować
consume;konsumować, zużywać
contain;zawierać
contemporary;współczesny
context;kontekst
contradict;zaprzeczać
contribute;przyczynić się, wnieść wkład
controversial;kontrowersyjny
convenient;wygodny, dogodny
convention;konwencja, zwyczaj
convert;przekonwertować, zamienić
